# deviation_chirp_bias	 deviation_time_bias
0.00001372	0.00022694
0.00002429	0.00012798
0.00008143	0.00023613
0.00005366	0.00027409
0.00039986	0.01893622
0.00031708	0.00136191
0.00000818	0.00095954
0.00026128	0.00089052
0.00019517	0.00339290
0.00062207	0.00212259
0.00003108	0.00049746
0.00009667	0.00432292
0.00006647	0.00028754
0.00001407	0.00060499
0.00002827	0.00128240
0.00027455	0.00111929
0.00014241	0.00078914
0.00004616	0.00072818
0.00010064	0.00228793
0.00009712	0.00283146
0.00026858	0.00108819
0.00011752	0.00113553
0.00003441	0.00019420
0.00003366	0.00041204
0.00060976	0.00595690
0.00003737	0.00013152
0.00071861	0.00003733
0.00008206	0.00078426
0.00027113	0.00172072
0.00022046	0.00076769
0.00012717	0.00017967
0.00043726	0.00402953
0.00001677	0.00000579
0.00032119	0.00238045
0.00001498	0.00106697
0.00017274	0.00278315
0.00000443	0.00079759
0.00018664	0.00005145
0.00001380	0.00046761
0.00023206	0.00073965
0.00020947	0.00231327
0.00001376	0.00036386
0.00014770	0.00138785
0.00016173	0.00007817
0.00074027	0.00433788
0.00001874	0.00043782
0.00006248	0.00052778
0.00003859	0.00041516
0.00014437	0.00295459
0.00035481	0.00117185
0.00016071	0.00291737
0.00005783	0.00017260
0.00000623	0.00089299
0.00005158	0.00434647
0.00014295	0.00156100
0.00001231	0.00027225
0.00000742	0.00021297
0.00005442	0.00004532
0.00000482	0.00062531
0.00012415	0.00017168
0.00000277	0.00035044
0.00067904	0.00047062
0.00010401	0.00072025
0.00014028	0.00366999
0.00008302	0.00061461
0.00006341	0.00140704
0.00007704	0.00016446
0.00004760	0.00126602
0.00000379	0.00015228
0.00000972	0.00019507
0.00011884	0.00019924
0.00043535	0.00256684
0.00006339	0.00049174
0.00011483	0.00031476
0.00016095	0.00017024
0.00030552	0.00074673
0.00007867	0.00009229
0.00008203	0.00003815
0.00006192	0.00004930
0.00024746	0.00212950
0.00015244	0.00043098
0.00004678	0.00068232
0.00006751	0.00061474
0.00004737	0.00010438
0.00025473	0.00085658
0.00016268	0.00156878
0.00017517	0.00050952
0.00010994	0.00162270
0.00001188	0.00089016
0.00025863	0.00550461
0.00000328	0.00109187
0.00001989	0.00052574
0.00028053	0.00096582
0.00012520	0.00035833
0.00005397	0.00034519
0.00032757	0.00451381
0.00030328	0.00011597
0.00002080	0.00043436
0.00034295	0.00021723
0.00006743	0.00060757
0.00021125	0.00177818
0.00003341	0.00012414
0.00003230	0.00000657
0.00004302	0.00005678
0.00001685	0.00217021
0.00006705	0.00169715
0.00007970	0.00000736
0.00015872	0.00421508
0.00017099	0.00009856
0.00001563	0.00064161
0.00002633	0.00048185
0.00016118	0.00136392
0.00007923	0.00014274
0.00002870	0.00060536
0.00033302	0.00002137
0.00004582	0.00030551
0.00009231	0.00119028
0.00007404	0.00071553
0.00009030	0.00034872
0.00002256	0.00053387
0.00003477	0.00305935
0.00016408	0.00010576
0.00016932	0.00036182
0.00009521	0.00017441
0.00006923	0.00005743
0.00009244	0.00031173
0.00001394	0.00003359
0.00007839	0.00191791
0.00029604	0.01203596
0.00001974	0.00022560
0.00050460	0.00317377
0.00016121	0.00483368
0.00011020	0.00005560
0.00010946	0.00100959
0.00003725	0.00008017
0.00001553	0.00009204
0.00031460	0.00017323
0.00001822	0.00052622
0.00028905	0.00129895
0.00002918	0.00009375
0.00037248	0.00187220
0.00006935	0.00072163
0.00000914	0.00013291
0.00005606	0.00076420
0.00006521	0.00039877
0.00003127	0.00001200
0.00013444	0.00026780
0.00003611	0.00026120
0.00008520	0.00014258
0.00006933	0.01385326
0.00004896	0.00048046
0.00002659	0.00016293
0.00002480	0.00025822
0.00087623	0.00059494
0.00000599	0.00010878
0.00011924	0.00031121
0.00009823	0.00034397
0.00022967	0.00064008
0.00002976	0.00055818
0.00001296	0.00006699
0.00037631	0.00300820
0.00006312	0.00058721
0.00021670	0.00116447
0.00004800	0.00037586
0.00076524	0.00357754
0.00011050	0.00074656
0.00056291	0.00263572
0.00059054	0.00284078
0.00019825	0.00040924
0.00014310	0.00208904
0.00001948	0.00502726
0.00021707	0.00025667
0.00053012	0.00041335
0.00016203	0.00157768
0.00030677	0.00468659
0.00000955	0.00002296
0.00022600	0.00025186
0.00012273	0.00176027
0.00011275	0.00437560
0.00005534	0.00000818
0.00006325	0.00006692
0.00108957	0.00307389
0.00010316	0.00050641
0.00001748	0.00082545
0.00033773	0.00021737
0.00017562	0.00107165
0.00008426	0.00045731
0.00012802	0.00008774
0.00009981	0.00017124
0.00003721	0.00054242
0.00048205	0.00859852
0.00003611	0.00020041
0.00001140	0.00007140
0.00009346	0.00021929
0.00010188	0.00023595
0.00000909	0.00066026
0.00007208	0.00040522
0.00000873	0.00018628
0.00195844	0.00093855
0.00004325	0.00031035
0.00008851	0.00189890
0.00079066	0.00143948
0.00002278	0.00028505
0.00003092	0.00057606
0.00006944	0.00118918
0.00002280	0.00420993
0.00017161	0.00173710
0.00008066	0.00013506
0.00005360	0.00301465
0.00003328	0.00046849
0.00007140	0.00004856
0.00013834	0.00138850
0.00013219	0.00001847
0.00002361	0.00031714
0.00040687	0.00163701
0.00020014	0.00078497
0.00003842	0.00013079
0.00044319	0.00232188
0.00006121	0.00026368
0.00004952	0.00025335
0.00001606	0.00035422
0.00001130	0.00001493
0.00000429	0.00015043
0.00042086	0.00034542
0.00009735	0.00033692
0.00004239	0.00010200
0.00005277	0.00026354
