# deviation_chirp_bias	 deviation_time_bias
0.00001181	0.00004425
0.00001170	0.00175776
0.00044908	0.00293877
0.00009837	0.00032221
0.00002283	0.00050115
0.00003755	0.00103961
0.00010620	0.00106253
0.00008808	0.00043677
0.00000810	0.00021948
0.00001501	0.00040095
0.00010455	0.00139086
0.00047807	0.00701523
0.00025771	0.00462105
0.00011662	0.00028390
0.00033759	0.00228616
0.00069605	0.00071557
0.00005151	0.00041610
0.00001247	0.00052360
0.00012314	0.00950098
0.00004801	0.00022122
0.00015952	0.00075364
0.00040775	0.00104040
0.00014566	0.00001808
0.00010804	0.00042987
0.00014563	0.00438781
0.00004852	0.00055179
0.00002877	0.00057481
0.00001757	0.00042668
0.00006804	0.00171347
0.00001115	0.00036620
0.00021047	0.00157147
0.00001940	0.00015312
0.00028418	0.00036056
0.00000173	0.00012645
0.00003372	0.00016863
0.00097447	0.00193613
0.00013686	0.00331887
0.00056774	0.00063479
0.00002935	0.00018497
0.00003097	0.00007553
0.00002223	0.00001725
0.00000550	0.00013694
0.00022513	0.00160721
0.00005746	0.00009743
0.00027420	0.00287679
0.00001808	0.00108497
0.00007641	0.00064144
0.00005694	0.00003042
0.00009233	0.00013310
0.00036504	0.00587375
0.00029727	0.00024862
0.00004306	0.00054850
0.00000261	0.00009917
0.00036050	0.00352800
0.00015331	0.00163000
0.00017627	0.00021855
0.00013674	0.00044236
0.00009941	0.00169964
0.00000974	0.00078311
0.00001223	0.00108567
0.00002317	0.00706462
0.00003854	0.00059262
0.00006528	0.00044411
0.00000828	0.00017476
0.00013758	0.00107563
0.00003569	0.00010740
0.00005583	0.00124228
0.00013819	0.00008395
0.00004261	0.00063547
0.00045254	0.00545083
0.00005153	0.00013943
0.00009232	0.00009099
0.00000468	0.00113497
0.00004748	0.00052447
0.00008308	0.00010328
0.00026940	0.00300677
0.00016200	0.00031576
0.00007327	0.00082134
0.00013490	0.00055020
0.00003272	0.00021482
0.00013927	0.00010722
0.00000230	0.00082488
0.00011903	0.00172816
0.00022262	0.00233062
0.00032194	0.00050425
0.00115263	0.00303375
0.00011889	0.00012425
0.00032082	0.00016602
0.00003165	0.00061621
0.00013882	0.00008204
0.00006457	0.00025794
0.00006687	0.00026873
0.00002722	0.00027709
0.00004078	0.00001009
0.00010982	0.00001036
0.00002910	0.00079585
0.00018857	0.00081790
0.00007225	0.00034850
0.00014681	0.00087420
0.00004793	0.00004994
0.00009192	0.00018692
0.00002504	0.00001289
0.00012214	0.00104362
0.00014390	0.00000820
0.00004403	0.00006185
0.00010388	0.00015040
0.00006748	0.00012935
0.00006169	0.00007682
0.00000945	0.00025842
0.00010638	0.00078596
0.00001698	0.00025828
0.00009979	0.00000442
0.00003543	0.00111966
0.00012397	0.00075109
0.00001483	0.00071873
0.00005790	0.00111439
0.00004945	0.00018666
0.00016973	0.00041833
0.00025055	0.00133529
0.00012523	0.00195759
0.00071462	0.00227991
0.00004533	0.00121786
0.00017305	0.00019598
0.00007241	0.00057098
0.00023253	0.00099174
0.00003961	0.00017486
0.00001908	0.00382028
0.00019198	0.00077155
0.00002961	0.00094304
0.00007928	0.00030651
0.00002152	0.00030917
0.00036922	0.00242862
0.00002305	0.00158406
0.00000227	0.00050417
0.00003286	0.00003186
0.00005617	0.00039254
0.00013081	0.00066493
0.00026294	0.00794390
0.00013332	0.00016557
0.00019098	0.00444871
0.00006632	0.00018171
0.00016038	0.00030053
0.00006444	0.00008612
0.00029929	0.00013068
0.00043619	0.00107895
0.00005588	0.00110627
0.00008833	0.00114865
0.00005464	0.00030908
0.00027594	0.00024955
0.00008900	0.00136528
0.00010958	0.00030816
0.00024152	0.00094394
0.00001777	0.00003542
0.00017506	0.00005851
0.00027534	0.00719310
0.00007979	0.00047107
0.00002286	0.00035427
0.00192253	0.00037920
0.00007232	0.00012298
0.00010408	0.00009674
0.00006338	0.00080704
0.00012410	0.00031670
0.00020483	0.00065163
0.00003179	0.00095667
0.00028504	0.00328725
0.00024472	0.00091365
0.00004200	0.00292834
0.00015898	0.00008276
0.00001990	0.00024719
0.00005177	0.00034992
0.00107844	0.00318840
0.00007857	0.00030822
0.00000959	0.01602319
0.00005329	0.00038929
0.00005066	0.00023212
0.00000879	0.00023262
0.00002426	0.00082873
0.00015283	0.00010691
0.00049050	0.00154290
0.00019665	0.00110372
0.00008095	0.00012071
0.00061925	0.00214739
0.00008503	0.00091637
0.00001674	0.00033357
0.00002100	0.00031290
0.00009684	0.00034430
