# deviation_chirp_bias	 deviation_time_bias
0.00002839	0.00004425
0.00014943	0.00416326
0.00002153	0.00103961
0.00004457	0.00018254
0.00011268	0.00011642
0.00014221	0.00008574
0.00002503	0.00036403
0.00010979	0.00016210
0.00008917	0.00052123
0.00002683	0.00001369
0.00003518	0.00076595
0.00007363	0.00024152
0.00000291	0.00059225
0.00019096	0.00670481
0.00011483	0.00070025
0.00001897	0.00056927
0.00000152	0.00019624
0.00008174	0.00226298
0.00000461	0.00000391
0.00003131	0.00001917
0.00002222	0.00004924
0.00001633	0.00020447
0.00001731	0.00213308
0.00001035	0.00000822
0.00008649	0.00023080
0.00001200	0.00019010
0.00002609	0.00040670
0.00006719	0.00011771
0.00002279	0.00036481
0.00007894	0.00089437
0.00005625	0.00047955
0.00019558	0.00322431
0.00000047	0.00019831
0.00004991	0.00006190
0.00002328	0.00006088
0.00010191	0.00235521
0.00017749	0.00130246
0.00000245	0.00043209
0.00003048	0.00042772
0.00002745	0.00057547
0.00004996	0.00037783
0.00006563	0.00023047
0.00008153	0.00043134
0.00015760	0.00029557
0.00001946	0.00012417
0.00004977	0.00029184
0.00016578	0.00266070
0.00002082	0.00005341
0.00000863	0.00004886
0.00019950	0.00053583
0.00000212	0.00073681
0.00005314	0.00026994
0.00002463	0.00040669
0.00000517	0.00045777
0.00012354	0.00052585
0.00004187	0.00011321
0.00006829	0.00039143
0.00000749	0.00011302
0.00012736	0.00062224
0.00000373	0.00054900
0.00006149	0.00005447
0.00000258	0.00008711
0.00004680	0.00001996
0.00005286	0.00010195
0.00004345	0.00034840
0.00013284	0.00015708
0.00000986	0.00072688
0.00009777	0.00027228
0.00001078	0.00003379
0.00003022	0.00072519
0.00005733	0.00039493
0.00014548	0.00120413
0.00004829	0.00103760
0.00012306	0.00001111
0.00025399	0.00532322
0.00020471	0.00029269
0.00001767	0.00006767
0.00025403	0.00561233
0.00001965	0.00016775
0.00004550	0.00031757
0.00001530	0.00014747
0.00011328	0.00017889
0.00010181	0.00000714
0.00007573	0.00035187
0.00004488	0.00021861
0.00002909	0.00029412
0.00001593	0.00016739
0.00001859	0.00029182
0.00022957	0.00092524
0.00011414	0.00172120
0.00015219	0.00001437
0.00012277	0.00020372
0.00006662	0.00065838
0.00002981	0.00013266
0.00015746	0.00280329
0.00006425	0.00034546
0.00003899	0.00015691
0.00001074	0.00016469
0.00006015	0.00693458
0.00005180	0.00016062
0.00000874	0.00029775
0.00003767	0.00017899
0.00011496	0.00019884
0.00019089	0.00090543
0.00000533	0.00022124
0.00021433	0.00036203
0.00018637	0.00847131
0.00001972	0.00033910
0.00008892	0.00011781
0.00001088	0.00029146
0.00012098	0.00104915
0.00010819	0.00007737
0.00010936	0.00011902
0.00006891	0.00132800
0.00001381	0.00030831
0.00002391	0.00011506
0.00059660	0.00147998
0.00007119	0.00115120
0.00011917	0.00025181
0.00018435	0.00162512
0.00006702	0.00079529
